seriesuid,coordX,coordY,coordZ,label
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,21.0,19.375,-158.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,-14.625,4.375,-132.775,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,5.375,4.375,-122.775,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,-4.625,-76.25,-77.15,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,-45.25,-56.25,-36.525,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,-130.875,-61.25,-31.525,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.624425075947752229712087113746,-55.25,-51.25,-26.525,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-30.125,-86.25,-382.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-45.125,-76.25,-382.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,65.5,-76.25,-377.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,56.125,-61.25,-377.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,41.125,-76.25,-372.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,106.125,20.0,-372.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-40.125,-35.625,-367.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-45.125,-81.25,-366.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-10.125,-91.875,-356.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,96.125,-51.25,-347.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-20.125,-86.25,-346.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,61.125,-86.25,-331.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,86.125,-86.25,-331.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-5.125,-71.25,-331.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,71.125,-25.625,-326.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,45.5,-106.25,-320.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,81.125,-101.25,-316.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,61.125,-45.625,-316.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,76.125,-91.875,-306.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,41.125,-106.25,-301.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,25.5,-71.25,-296.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,15.5,-81.25,-285.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,-0.125,5.0,-154.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,4.875,-20.625,-53.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,4.875,-30.625,-52.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,5.275,-66.25,-278.22,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,0.9,-51.25,-278.22,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,10.275,-51.25,-257.595,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,25.9,-46.25,-248.22,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,66.525,4.375,-243.22,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,5.9,30.0,-120.72,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,-4.1,-5.625,-14.47,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,-34.725,-61.875,-13.845,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.171682845383273105440297561095,-44.725,-36.25,-8.845,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,83.05,-51.25,-297.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,67.425,-40.625,-297.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,113.05,-35.625,-292.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,21.8,-51.25,-287.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,31.8,-51.25,-267.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,72.425,-51.25,-267.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,52.425,-56.25,-257.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,61.8,-56.25,-257.125,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,11.8,9.375,-236.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,11.175,20.0,-216.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,21.8,40.625,-135.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,16.8,40.0,-125.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,41.8,-61.25,-54.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,26.8,-61.25,-49.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,-160.7,-25.625,-49.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,11.175,30.0,-49.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,16.8,-56.25,-44.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,-8.825,-46.25,-39.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-5.0,-91.875,-84.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,5.0,-91.875,-79.625,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-5.0,-86.875,-69.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,10.0,-86.875,-69.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-20.625,-81.875,-64.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,20.0,-76.25,-44.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-5.625,-56.25,-29.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-30.625,-61.25,-28.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-5.625,-81.25,-18.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-15.625,-81.25,-13.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,-46.25,-51.25,-13.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,30.0,-46.25,-13.375,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,127.975,3.875,-283.45,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,-85.775,85.125,-273.45,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,21.1,14.5,-120.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,6.1,8.875,-105.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,10.475,90.75,-29.7,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,1.1,-41.75,-24.075,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,6.1,-16.125,-19.075,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,11.1,90.75,-14.075,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145474881373882284343459153872,26.1,90.75,-14.075,0
