seriesuid,coordX,coordY,coordZ,label
1.3.6.1.4.1.14519.5.2.1.6279.6001.811825890493256320617655474043,89.725,59.0,-288.865,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,-41.382,-277.007,-387.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,-30.757,-282.007,-381.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,44.868,-266.382,-346.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,59.868,-266.382,-341.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.143622857676008763729469324839,59.868,-266.382,-321.875,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.306558074682524259000586270818,-23.45,-107.575,5.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.306558074682524259000586270818,-33.45,-102.575,6.08,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898,-33.371,-41.496,-43.225,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898,-33.996,-46.496,-33.85,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.175318131822744218104175746898,-13.371,-46.496,-33.85,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.184019785706727365023450012318,-14.225,-31.625,-51.25,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,29.8,-30.625,-346.245,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,-46.45,-21.25,-346.245,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,80.425,-46.25,-336.245,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,50.425,-36.25,-331.245,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,-31.45,-41.25,-330.62,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,55.425,-56.25,-315.62,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,70.425,-61.25,-311.245,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,49.8,-45.625,-294.995,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,55.425,-21.25,-290.62,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,76.05,-41.25,-284.995,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,4.8,20.0,-133.12,0
